Order	Family	Subfamily	Tribe	Genus	Species	LivingGenus	LivingRelative	Living	TaxonString	FCT_HYP	FCT_LOP	FCT_HOR	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM
Artiodactyla	Bovidae	NA	cf Aepycerotini	NA	NA	NA	NA	NA	ArtiodactylaBovidaecf Aepycerotini	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	cf Alcelaphini	NA	NA	NA	NA	NA	ArtiodactylaBovidaecf Alcelaphini	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	cf Antilopini	NA	NA	NA	NA	NA	ArtiodactylaBovidaecf Antilopini	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	cf Bovini	NA	NA	NA	NA	NA	ArtiodactylaBovidaecf Bovini	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	cf Cephalophini	NA	NA	NA	NA	NA	ArtiodactylaBovidaecf Cephalophini	2	2	1	0	1	1	0	0
Artiodactyla	Bovidae	NA	cf Hippotragini	NA	NA	NA	NA	NA	ArtiodactylaBovidaecf Hippotragini	3	2	1	0	1	1	0	0
Artiodactyla	Bovidae	NA	cf Neotragini	NA	NA	NA	NA	NA	ArtiodactylaBovidaecf Neotragini	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	cf Reduncini	NA	NA	NA	NA	NA	ArtiodactylaBovidaecf Reduncini	3	2	1	0	1	1	0	0
Artiodactyla	Bovidae	NA	cf Tragelaphini	NA	NA	NA	NA	NA	ArtiodactylaBovidaecf Tragelaphini	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	NA	NA	NA	NA	NA	NA	ArtiodactylaBovidae	NA	2	1	0	1	NA	NA	NA
Artiodactyla	Bovidae	NA	NA	NA	NA	NA	NA	NA	ArtiodactylaBovidaeindet	NA	2	1	0	1	NA	NA	NA
Artiodactyla	Bovidae	NA	NA	NA	NA	NA	NA	NA	ArtiodactylaBovidaeindetindet	NA	2	1	0	1	NA	NA	NA
Artiodactyla	Bovidae/Equidae	NA	NA	NA	NA	NA	NA	NA	ArtiodactylaBovidae/Equidae	NA	2	1	0	1	NA	NA	NA
Artiodactyla	Bovidae/Suidae	NA	NA	NA	NA	NA	NA	NA	ArtiodactylaBovidae/Suidae	NA	NA	NA	0	NA	NA	NA	NA
Artiodactyla	Camelidae	NA	NA	Camelus	NA	Camelus	NA	NA	ArtiodactylaCamelidaeCamelus	3	2	1	0	1	0	0	0
Primates	Cercopithecidae	Cercopithecinae	Cercopithecini	Cercopithecus	NA	Cercopithecus	NA	NA	PrimatesCercopithecidaeCercopithecinaeCercopitheciniCercopithecus	1	0	1	0	0	0	0	0
Primates	Cercopithecidae	Colobinae	Colobini	Cercopithecoides	kimeui	Cercopithecus		0	PrimatesCercopithecidaeColobinaeColobiniCercopithecoideskimeui	1	0	1	0	0	0	0	0
Primates	Cercopithecidae	Colobinae	Colobini	Cercopithecoides	turkwelensis	Cercopithecus		0	PrimatesCercopithecidaeColobinaeColobiniCercopithecoidesturkwelensis	1	0	1	0	0	0	0	0
Primates	Cercopithecidae	Colobinae	Colobini	Cercopithecoides	williamsi	Cercopithecus		0	PrimatesCercopithecidaeColobinaeColobiniCercopithecoideswilliamsi	1	0	1	0	0	0	0	0
